LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,BILL_AMT1,BILL_AMT2,BILL_AMT3,PAY_AMT1,PAY_AMT2,PAY_AMT3,default
90000.0,1,3,1,61,0,0,1,25979.0,24870.0,24043.0,5175.0,4954.0,4789.0,1
225000.0,2,3,2,30,1,-1,3,220944.0,226999.0,197676.0,48274.0,49597.0,43190.0,1
175000.0,1,2,2,61,0,0,0,167056.0,153406.0,125132.0,9276.0,8518.0,6948.0,0
60000.0,2,3,1,32,0,-1,1,31445.0,31054.0,32426.0,3638.0,3593.0,3751.0,0
85000.0,1,3,2,21,-1,2,0,82741.0,67534.0,70635.0,7257.0,5924.0,6196.0,1
60000.0,2,4,1,44,1,0,0,33728.0,29081.0,29474.0,8603.0,7418.0,7518.0,1
60000.0,2,1,2,32,-1,1,1,54220.0,55340.0,48849.0,7105.0,7251.0,6401.0,1
550000.0,1,1,1,56,3,3,1,233846.0,217243.0,182334.0,13242.0,12302.0,10325.0,1
35000.0,2,2,1,69,-1,0,2,28382.0,23482.0,22963.0,3258.0,2695.0,2636.0,1
365000.0,1,3,2,59,-1,0,2,379491.0,344991.0,324509.0,73248.0,66589.0,62636.0,0
80000.0,2,1,1,69,2,-1,-1,44343.0,39480.0,31733.0,4444.0,3957.0,3181.0,0
195000.0,1,2,1,23,-1,1,1,90508.0,83410.0,67210.0,16379.0,15095.0,12163.0,0
135000.0,2,1,2,63,-1,0,2,42362.0,44392.0,42414.0,11746.0,12309.0,11761.0,0
250000.0,1,2,2,40,3,-1,0,208817.0,189247.0,151632.0,17968.0,16284.0,13047.0,1
35000.0,1,1,2,39,-1,-1,1,21552.0,17786.0,14536.0,4016.0,3314.0,2709.0,1
200000.0,1,1,2,61,2,1,0,76644.0,71193.0,59382.0,17051.0,15838.0,13211.0,1
515000.0,1,2,2,48,-1,2,0,485721.0,472892.0,457421.0,143093.0,139314.0,134756.0,1
220000.0,1,2,1,56,-1,3,-1,155497.0,125356.0,117772.0,6262.0,5048.0,4742.0,0
130000.0,2,3,2,66,0,0,2,106214.0,104924.0,85512.0,30302.0,29934.0,24396.0,1
95000.0,2,3,1,50,0,3,1,88458.0,88886.0,91567.0,25694.0,25819.0,26597.0,1
45000.0,2,3,1,42,1,-1,2,25817.0,22000.0,22896.0,5828.0,4967.0,5169.0,0
125000.0,1,2,1,62,0,0,0,123936.0,108478.0,93602.0,5628.0,4926.0,4251.0,0
95000.0,2,2,2,65,-1,1,2,80078.0,76397.0,68628.0,21097.0,20127.0,18080.0,1
100000.0,2,2,2,57,3,3,1,40182.0,38778.0,31083.0,6329.0,6108.0,4896.0,0
80000.0,1,2,2,54,0,0,2,76252.0,66351.0,55157.0,15386.0,13388.0,11129.0,1
200000.0,2,1,1,66,1,1,0,134333.0,119615.0,124317.0,9373.0,8346.0,8674.0,1
235000.0,1,2,2,50,3,0,1,56011.0,54792.0,53890.0,11872.0,11614.0,11423.0,1
60000.0,1,1,2,52,1,-1,1,62966.0,57877.0,50894.0,7297.0,6707.0,5898.0,1
70000.0,1,1,2,32,0,-1,0,40070.0,32903.0,33807.0,7959.0,6535.0,6715.0,0
50000.0,1,4,2,51,0,0,0,25405.0,25549.0,26206.0,4053.0,4076.0,4180.0,0
55000.0,2,1,1,32,1,0,-1,15770.0,15355.0,12484.0,3753.0,3654.0,2971.0,0
45000.0,2,1,3,65,-1,-1,3,45450.0,37437.0,35609.0,3477.0,2864.0,2724.0,1
70000.0,2,1,2,57,-1,3,-1,42222.0,36700.0,37422.0,8526.0,7411.0,7556.0,0
55000.0,1,2,1,62,0,-1,0,37169.0,36927.0,35221.0,1810.0,1798.0,1715.0,1
45000.0,1,3,2,44,0,1,3,28496.0,26848.0,22154.0,5977.0,5631.0,4647.0,1
35000.0,2,2,1,51,1,0,0,24014.0,22522.0,19287.0,5273.0,4945.0,4235.0,0
55000.0,2,2,1,48,2,-1,0,18914.0,19803.0,17955.0,3364.0,3522.0,3193.0,0
170000.0,2,1,2,58,0,-1,-1,149627.0,122473.0,102194.0,35581.0,29124.0,24302.0,0
65000.0,2,2,1,44,1,2,3,60894.0,49364.0,49327.0,6516.0,5282.0,5279.0,1
45000.0,2,3,2,63,-1,1,3,53881.0,46959.0,47205.0,8955.0,7805.0,7846.0,0
55000.0,1,2,2,48,-1,1,1,59792.0,60728.0,62182.0,6881.0,6989.0,7156.0,0
205000.0,2,1,1,58,1,0,2,92293.0,86377.0,77151.0,5152.0,4822.0,4307.0,1
120000.0,1,2,2,53,0,1,0,133459.0,121611.0,126055.0,35426.0,32281.0,33461.0,1
255000.0,1,4,3,24,0,-1,1,180104.0,160845.0,152193.0,45849.0,40946.0,38743.0,0
85000.0,2,3,3,28,3,2,0,13964.0,13389.0,12155.0,2944.0,2823.0,2563.0,1
115000.0,2,2,2,49,1,0,1,41198.0,38229.0,33844.0,8937.0,8293.0,7342.0,0
35000.0,2,2,1,66,1,1,-1,22432.0,23488.0,22425.0,3511.0,3676.0,3509.0,0
40000.0,1,1,2,62,-1,-1,-1,33479.0,28980.0,24585.0,3737.0,3235.0,2744.0,0
10000.0,1,1,3,26,3,-1,-1,9315.0,7921.0,8093.0,1826.0,1553.0,1587.0,1
210000.0,2,2,2,66,-1,2,0,127425.0,115163.0,116389.0,36116.0,32641.0,32988.0,0
70000.0,2,3,1,60,3,0,0,32887.0,30031.0,25294.0,8356.0,7630.0,6426.0,0
30000.0,2,1,2,69,2,1,3,20841.0,20441.0,19542.0,4131.0,4052.0,3874.0,1
130000.0,2,1,2,35,-1,-1,-1,43339.0,40056.0,32897.0,9302.0,8597.0,7060.0,0
95000.0,2,2,2,55,3,2,0,17191.0,15975.0,13492.0,2457.0,2283.0,1928.0,1
50000.0,2,1,2,56,-1,2,1,45574.0,39751.0,35330.0,6870.0,5992.0,5326.0,0
180000.0,1,2,2,53,3,0,0,45855.0,39433.0,34851.0,13486.0,11597.0,10250.0,1
80000.0,2,4,2,61,1,-1,0,15544.0,13543.0,12878.0,4232.0,3687.0,3506.0,0
615000.0,2,2,2,48,0,1,2,510407.0,532270.0,528297.0,40364.0,42093.0,41779.0,0
90000.0,2,1,2,21,1,-1,2,84716.0,78727.0,71064.0,11947.0,11102.0,10022.0,0
85000.0,2,2,2,35,0,0,-1,62883.0,55478.0,50673.0,18325.0,16167.0,14767.0,0
80000.0,2,2,1,62,2,0,-1,19149.0,16205.0,14916.0,5303.0,4488.0,4131.0,1
70000.0,2,1,1,53,-1,-1,0,67523.0,63399.0,64572.0,16684.0,15665.0,15955.0,0
110000.0,2,2,2,57,0,0,0,88794.0,85191.0,70038.0,17418.0,16711.0,13739.0,0
90000.0,1,3,2,48,-1,0,0,59885.0,48749.0,44455.0,10707.0,8716.0,7948.0,0
80000.0,2,2,2,38,-1,-1,0,83515.0,67177.0,66583.0,7864.0,6326.0,6270.0,1
35000.0,1,3,2,34,0,0,0,36271.0,36827.0,36038.0,6324.0,6420.0,6283.0,1
450000.0,2,1,1,69,0,0,-1,80624.0,83708.0,72704.0,12852.0,13344.0,11590.0,0
105000.0,2,1,1,46,-1,-1,0,88446.0,90675.0,82753.0,14153.0,14509.0,13242.0,0
55000.0,2,2,2,31,-1,1,3,52261.0,46008.0,42227.0,5812.0,5117.0,4696.0,1
55000.0,1,1,1,52,1,0,0,13377.0,13005.0,11603.0,3376.0,3282.0,2928.0,0
45000.0,1,4,1,47,-1,0,-1,35067.0,28558.0,25444.0,9677.0,7881.0,7021.0,1
110000.0,1,1,2,43,-1,0,0,98041.0,88831.0,88365.0,16244.0,14718.0,14640.0,0
60000.0,2,2,2,31,-1,-1,1,46118.0,37319.0,35501.0,7334.0,5935.0,5645.0,0
155000.0,2,2,2,65,0,1,-1,132234.0,121662.0,104370.0,22983.0,21146.0,18140.0,1
70000.0,2,1,1,54,0,2,-1,25567.0,24537.0,25710.0,6328.0,6073.0,6364.0,0
50000.0,2,2,2,59,0,0,0,52965.0,42604.0,36939.0,6612.0,5319.0,4612.0,1
160000.0,2,2,2,39,3,0,2,123738.0,102980.0,85265.0,23504.0,19561.0,16196.0,1
50000.0,2,1,2,34,0,-1,1,7887.0,7902.0,8027.0,998.0,1000.0,1016.0,0
130000.0,1,2,2,48,0,3,0,31059.0,30465.0,29281.0,3167.0,3107.0,2986.0,0
240000.0,2,2,2,23,2,-1,1,177865.0,163435.0,155841.0,30156.0,27709.0,26422.0,1
185000.0,1,1,2,60,1,0,1,164347.0,171563.0,155074.0,13916.0,14527.0,13130.0,1
45000.0,1,2,2,55,-1,0,1,34585.0,35975.0,32997.0,6456.0,6716.0,6160.0,1
225000.0,2,1,2,24,2,-1,0,223021.0,229082.0,198908.0,52191.0,53610.0,46548.0,0
120000.0,1,2,1,36,0,0,0,38620.0,38719.0,35421.0,6719.0,6736.0,6162.0,0
200000.0,2,1,2,51,-1,-1,1,153163.0,142623.0,139476.0,16197.0,15082.0,14750.0,0
875000.0,1,2,2,50,0,1,-1,485051.0,406726.0,400229.0,112006.0,93919.0,92419.0,0
120000.0,1,3,2,31,2,0,1,25244.0,25896.0,24183.0,2346.0,2406.0,2247.0,1
255000.0,1,2,1,55,3,0,2,249882.0,242295.0,216953.0,52094.0,50512.0,45229.0,1
160000.0,1,2,1,47,-1,-1,3,61029.0,56249.0,53325.0,5018.0,4625.0,4384.0,0
190000.0,2,2,1,27,2,3,3,31387.0,32462.0,31762.0,2142.0,2215.0,2168.0,1
25000.0,2,1,1,54,0,0,1,24411.0,24583.0,23754.0,5656.0,5695.0,5503.0,1
100000.0,2,1,2,32,0,1,1,38561.0,34441.0,29754.0,9164.0,8185.0,7071.0,0
130000.0,2,1,1,51,0,0,-1,69713.0,60860.0,53802.0,19955.0,17421.0,15400.0,0
65000.0,2,2,2,27,-1,0,-1,64804.0,65934.0,68918.0,18398.0,18719.0,19566.0,1
90000.0,2,4,2,36,-1,1,0,53769.0,44294.0,37434.0,9098.0,7495.0,6334.0,0
335000.0,1,1,2,52,-1,0,-1,117390.0,121561.0,124449.0,19735.0,20436.0,20922.0,0
125000.0,2,2,1,24,3,0,2,119274.0,97520.0,85642.0,34740.0,28403.0,24944.0,1
115000.0,2,3,1,32,0,-1,0,28780.0,23148.0,21537.0,6377.0,5129.0,4772.0,0
55000.0,2,2,2,49,2,0,-1,65717.0,54480.0,43907.0,13697.0,11355.0,9151.0,1
80000.0,2,1,2,27,1,-1,2,41084.0,41539.0,36967.0,5661.0,5724.0,5094.0,0
60000.0,2,1,2,28,0,-1,0,57983.0,58022.0,47129.0,15465.0,15476.0,12570.0,1
100000.0,2,3,2,41,1,-1,3,100024.0,86382.0,84594.0,22583.0,19503.0,19099.0,1
100000.0,2,2,1,62,0,0,2,16693.0,17126.0,14288.0,1175.0,1206.0,1006.0,0
65000.0,2,2,2,46,2,-1,-1,43999.0,39593.0,36664.0,2582.0,2324.0,2152.0,1
135000.0,2,1,2,55,0,-1,0,64788.0,58332.0,49893.0,3557.0,3203.0,2739.0,1
85000.0,2,4,2,28,-1,1,-1,93742.0,86587.0,70864.0,22159.0,20467.0,16751.0,0
5000.0,1,1,2,42,0,-1,1,1726.0,1635.0,1691.0,338.0,320.0,331.0,0
35000.0,2,1,2,26,3,0,-1,36889.0,32813.0,28890.0,7394.0,6577.0,5791.0,1
330000.0,2,1,1,51,0,2,-1,309950.0,299897.0,260130.0,24255.0,23468.0,20356.0,0
60000.0,2,1,2,22,0,3,0,43543.0,38407.0,36687.0,4088.0,3606.0,3444.0,1
205000.0,1,3,2,42,2,2,0,30865.0,26849.0,26581.0,4992.0,4342.0,4299.0,1
60000.0,1,1,1,69,-1,3,1,57782.0,54592.0,47816.0,13181.0,12453.0,10907.0,1
315000.0,2,2,2,55,1,-1,2,152853.0,126093.0,120161.0,29815.0,24595.0,23438.0,0
40000.0,2,1,2,60,0,-1,1,35442.0,31153.0,27521.0,9227.0,8111.0,7165.0,0
300000.0,1,2,2,21,2,0,0,72331.0,70559.0,60893.0,16828.0,16415.0,14167.0,0
155000.0,2,2,2,27,2,1,-1,45666.0,41623.0,35836.0,9215.0,8399.0,7231.0,0
160000.0,1,1,2,44,3,0,-1,84958.0,87346.0,73917.0,4737.0,4870.0,4121.0,1
235000.0,2,3,2,39,-1,1,1,282000.0,237411.0,247224.0,30034.0,25286.0,26331.0,0
125000.0,2,2,1,29,0,-1,3,55769.0,47184.0,39303.0,10662.0,9020.0,7514.0,0
135000.0,2,1,2,43,0,2,0,56135.0,48325.0,50187.0,13921.0,11984.0,12446.0,1
140000.0,2,3,2,48,1,0,2,117646.0,100810.0,99412.0,4530.0,3882.0,3828.0,0
600000.0,2,2,2,25,0,-1,0,222933.0,223456.0,218528.0,60871.0,61014.0,59669.0,0
425000.0,2,1,1,66,1,-1,-1,184155.0,174226.0,175572.0,14593.0,13806.0,13912.0,0
200000.0,1,1,2,36,-1,3,-1,128074.0,124777.0,99900.0,7049.0,6867.0,5498.0,1
65000.0,2,1,2,53,-1,3,0,36541.0,30311.0,27058.0,8907.0,7388.0,6595.0,1
30000.0,1,1,1,22,1,-1,2,5192.0,5271.0,5478.0,465.0,472.0,490.0,0
210000.0,2,2,2,44,1,1,1,188547.0,163012.0,136411.0,21765.0,18817.0,15747.0,1
75000.0,2,2,2,37,-1,0,0,37482.0,32004.0,27194.0,10226.0,8731.0,7419.0,0
75000.0,1,1,2,42,-1,2,0,63579.0,62138.0,50129.0,11247.0,10992.0,8868.0,0
60000.0,2,1,2,32,2,0,1,38128.0,35820.0,29883.0,10901.0,10241.0,8544.0,1
45000.0,2,2,2,24,1,0,1,32123.0,29308.0,24079.0,6269.0,5720.0,4699.0,0
70000.0,1,1,2,51,-1,1,3,71981.0,70907.0,71510.0,14903.0,14681.0,14805.0,0
220000.0,2,2,1,40,3,0,1,69900.0,56937.0,45892.0,15080.0,12283.0,9900.0,0
185000.0,2,2,1,54,2,0,1,187804.0,166313.0,156645.0,48177.0,42664.0,40184.0,1
115000.0,1,1,1,31,2,0,0,44759.0,46303.0,45909.0,2300.0,2379.0,2359.0,0
65000.0,1,1,2,35,-1,2,-1,30984.0,30655.0,30350.0,7455.0,7376.0,7302.0,0
50000.0,1,2,1,52,1,1,1,32194.0,32848.0,26307.0,4264.0,4351.0,3484.0,1
65000.0,2,1,2,26,-1,0,-1,66475.0,66515.0,69406.0,3003.0,3004.0,3135.0,1
105000.0,1,1,2,50,0,0,-1,46345.0,44972.0,41998.0,6466.0,6275.0,5860.0,1
45000.0,1,4,1,31,-1,2,1,48417.0,41058.0,38441.0,4561.0,3868.0,3621.0,0
35000.0,2,2,1,37,3,2,0,13870.0,13833.0,12447.0,3473.0,3464.0,3116.0,1
15000.0,2,2,1,69,3,2,0,17159.0,17221.0,17590.0,2959.0,2970.0,3034.0,1
90000.0,1,2,2,44,-1,-1,3,76786.0,79483.0,66869.0,18247.0,18888.0,15891.0,1
265000.0,2,1,2,21,-1,0,1,42674.0,41921.0,36488.0,2833.0,2783.0,2422.0,0
35000.0,2,1,2,28,0,-1,1,41293.0,34529.0,36016.0,6094.0,5096.0,5315.0,1
115000.0,1,2,2,44,0,1,0,73811.0,65481.0,54348.0,5198.0,4611.0,3827.0,0
120000.0,2,2,1,57,-1,1,0,29488.0,30526.0,29776.0,6726.0,6962.0,6791.0,0
160000.0,1,3,2,68,1,1,1,117556.0,104915.0,95500.0,22356.0,19952.0,18162.0,0
200000.0,2,4,1,69,2,1,-1,200873.0,189058.0,183178.0,24433.0,22996.0,22281.0,1
40000.0,2,2,1,62,1,-1,0,39642.0,40181.0,41470.0,8127.0,8237.0,8501.0,1
70000.0,2,2,2,46,1,2,-1,20657.0,21123.0,19155.0,947.0,969.0,878.0,1
55000.0,2,1,3,35,0,1,1,23391.0,24412.0,22175.0,4568.0,4767.0,4330.0,0
185000.0,1,1,2,45,2,0,1,218681.0,186723.0,190065.0,9954.0,8499.0,8651.0,0
125000.0,1,3,2,39,-1,-1,1,110005.0,103899.0,95542.0,12587.0,11888.0,10932.0,0
45000.0,1,1,2,21,1,0,1,28381.0,27746.0,26611.0,2268.0,2217.0,2126.0,1
60000.0,1,4,2,30,2,3,-1,68758.0,71289.0,71995.0,7444.0,7718.0,7794.0,1
65000.0,2,4,2,67,0,2,-1,33825.0,32388.0,26672.0,7109.0,6807.0,5605.0,0
230000.0,1,2,2,22,3,1,2,237826.0,245856.0,253103.0,38112.0,39399.0,40560.0,1
95000.0,1,4,3,33,0,1,0,23377.0,19621.0,19946.0,4498.0,3776.0,3838.0,0
55000.0,2,2,2,45,1,1,1,21335.0,20199.0,19566.0,4762.0,4509.0,4367.0,1
40000.0,2,1,2,52,0,-1,1,30176.0,24677.0,24463.0,5358.0,4382.0,4344.0,1
80000.0,2,2,1,60,2,2,-1,39606.0,39941.0,39006.0,7178.0,7238.0,7069.0,1
25000.0,1,2,2,58,-1,1,0,3848.0,4030.0,3706.0,760.0,795.0,731.0,0
200000.0,2,1,1,39,2,-1,0,59940.0,55754.0,57668.0,17459.0,16240.0,16797.0,0
220000.0,2,2,2,23,3,-1,0,68189.0,70488.0,73255.0,5466.0,5650.0,5872.0,1
315000.0,1,4,1,51,1,0,0,216440.0,223626.0,210819.0,14141.0,14611.0,13774.0,1
80000.0,2,2,1,37,1,2,2,27544.0,27046.0,25069.0,5942.0,5835.0,5408.0,1
25000.0,2,2,2,50,0,0,-1,3737.0,3450.0,2803.0,1046.0,965.0,784.0,1
260000.0,1,1,1,55,3,-1,-1,312000.0,266553.0,256379.0,75100.0,64160.0,61712.0,0
25000.0,1,3,3,39,0,0,-1,10598.0,9518.0,9300.0,738.0,663.0,648.0,0
75000.0,1,2,1,26,0,3,2,36604.0,31682.0,27298.0,8364.0,7239.0,6237.0,0
40000.0,1,2,1,22,-1,-1,1,10170.0,8958.0,8615.0,1974.0,1738.0,1672.0,1
230000.0,2,1,2,67,0,-1,-1,34126.0,32261.0,33171.0,5938.0,5614.0,5772.0,0
80000.0,1,1,1,58,1,-1,-1,66358.0,66611.0,59308.0,14975.0,15032.0,13384.0,0
165000.0,1,1,2,49,1,1,1,153808.0,132406.0,111550.0,7559.0,6507.0,5482.0,1
45000.0,2,1,1,27,-1,1,-1,26398.0,26923.0,28013.0,4340.0,4426.0,4605.0,0
110000.0,2,2,1,26,-1,2,1,124597.0,110721.0,108179.0,33302.0,29594.0,28914.0,1
130000.0,2,2,1,25,0,0,1,28294.0,23768.0,20292.0,7022.0,5899.0,5036.0,0
190000.0,1,1,2,56,0,2,0,46992.0,39805.0,40744.0,6774.0,5738.0,5873.0,0
105000.0,2,1,2,54,-1,2,0,74261.0,64872.0,60296.0,19534.0,17064.0,15860.0,0
30000.0,1,2,2,46,1,2,-1,12762.0,12820.0,11489.0,846.0,850.0,761.0,1
65000.0,1,2,1,25,1,1,2,23388.0,18745.0,15349.0,5665.0,4540.0,3718.0,0
665000.0,1,2,2,63,2,1,-1,476041.0,390922.0,331067.0,127842.0,104983.0,88909.0,0
15000.0,1,1,1,34,1,-1,2,8198.0,7069.0,6909.0,911.0,785.0,768.0,0
70000.0,1,1,2,50,-1,-1,2,49157.0,50129.0,52284.0,5212.0,5315.0,5543.0,0
130000.0,1,2,1,33,0,0,0,87905.0,92249.0,76370.0,22659.0,23778.0,19685.0,0
30000.0,2,2,2,29,1,0,2,17036.0,17498.0,17007.0,1735.0,1782.0,1732.0,1
25000.0,2,2,2,67,1,1,-1,21693.0,19939.0,18110.0,5732.0,5268.0,4785.0,1
80000.0,1,2,1,35,3,-1,1,36408.0,37568.0,37197.0,3202.0,3304.0,3271.0,1
50000.0,1,2,3,40,0,-1,-1,27366.0,27955.0,22613.0,2124.0,2169.0,1755.0,0
25000.0,2,3,1,34,0,3,1,25623.0,24135.0,24573.0,7471.0,7037.0,7165.0,1
20000.0,2,1,1,68,-1,1,0,11764.0,10767.0,10964.0,1634.0,1495.0,1523.0,0
70000.0,2,2,3,42,-1,0,3,12239.0,10366.0,9849.0,3158.0,2675.0,2542.0,0
65000.0,1,2,1,63,0,0,0,28668.0,24717.0,22697.0,8085.0,6970.0,6401.0,1
55000.0,1,2,1,32,0,0,0,62769.0,65429.0,55582.0,9071.0,9455.0,8032.0,0
45000.0,2,2,2,42,2,0,2,24768.0,24366.0,22738.0,1942.0,1910.0,1782.0,1
235000.0,2,2,1,59,0,0,3,270815.0,267807.0,245609.0,19751.0,19531.0,17912.0,1
85000.0,2,3,2,60,2,0,-1,35480.0,29158.0,27137.0,4116.0,3383.0,3148.0,1
10000.0,1,2,1,46,1,0,1,7573.0,7474.0,7140.0,2074.0,2047.0,1956.0,1
135000.0,2,3,1,27,-1,-1,2,33996.0,30352.0,30106.0,9170.0,8187.0,8121.0,0
110000.0,1,1,2,48,2,2,3,63398.0,59477.0,62278.0,8612.0,8080.0,8460.0,1
305000.0,1,2,1,54,2,3,-1,287756.0,249675.0,209322.0,56916.0,49384.0,41403.0,1
45000.0,2,2,1,61,-1,1,1,42299.0,35993.0,29445.0,6829.0,5811.0,4754.0,0
80000.0,2,1,2,61,0,0,0,60172.0,54710.0,43835.0,17479.0,15893.0,12734.0,1
85000.0,1,2,1,25,1,0,1,93619.0,86627.0,78005.0,12144.0,11237.0,10119.0,0
25000.0,1,2,3,55,2,0,0,6342.0,6305.0,5544.0,841.0,836.0,735.0,0
65000.0,2,2,3,55,1,0,2,64944.0,62689.0,59096.0,16005.0,15449.0,14564.0,1
140000.0,1,1,1,59,0,1,0,94877.0,92968.0,87950.0,9369.0,9181.0,8685.0,0
